% Mission PlanIRTEST logfile
% 1 	Time (sec)
% 2 	Mission state
% 3 	% Mission status (mostly for debug)
1709308526.5550 1 % PlanIRTEST started
1709308526.5550 1 % Time stamp, IR dist 0, IR dist 1
1709308526.5551 1 % No Line
1709308526.5592 1 % No Line
1709308526.5633 1 % No Line
1709308526.5675 1 % No Line
1709308526.5716 1 % No Line
1709308526.5757 1 % No Line
1709308526.5798 1 % No Line
1709308526.5843 1 % No Line
1709308526.5885 1 % No Line
1709308526.5926 1 % No Line
1709308526.5967 1 % No Line
1709308526.6008 1 % No Line
1709308526.6049 1 % No Line
1709308526.6090 1 % No Line
1709308526.6132 1 % No Line
1709308526.6173 1 % No Line
1709308526.6214 1 % No Line
1709308526.6255 1 % No Line
1709308526.6297 1 % No Line
1709308526.6338 1 % No Line
1709308526.6379 1 % No Line
1709308526.6420 1 % No Line
1709308526.6461 1 % No Line
1709308526.6503 1 % No Line
1709308526.6545 1 % No Line
1709308526.6586 1 % No Line
1709308526.6631 1 % No Line
1709308526.6672 1 % No Line
1709308526.6714 1 % No Line
1709308526.6755 1 % No Line
1709308526.6796 1 % No Line
1709308526.6838 1 % No Line
1709308526.6879 1 % No Line
1709308526.6920 1 % No Line
1709308526.6962 1 % No Line
1709308526.7007 1 % No Line
1709308526.7049 1 % No Line
1709308526.7090 1 % No Line
1709308526.7132 1 % No Line
1709308526.7173 1 % No Line
1709308526.7215 1 % No Line
1709308526.7256 1 % No Line
1709308526.7297 1 % No Line
1709308526.7339 1 % No Line
1709308526.7381 1 % No Line
1709308526.7422 1 % No Line
1709308526.7464 1 % No Line
1709308526.7505 1 % No Line
1709308526.7546 1 % No Line
1709308526.7588 1 % No Line
1709308526.7629 1 % No Line
1709308526.7671 1 % No Line
1709308526.7712 1 % No Line
1709308526.7754 1 % No Line
1709308526.7795 1 % No Line
1709308526.7840 1 % No Line
1709308526.7881 1 % No Line
1709308526.7923 1 % No Line
1709308526.7964 1 % No Line
1709308526.8005 1 % No Line
1709308526.8047 1 % No Line
1709308526.8088 1 % No Line
1709308526.8129 1 % No Line
1709308526.8171 1 % No Line
1709308526.8216 1 % No Line
1709308526.8257 1 % No Line
1709308526.8298 1 % No Line
1709308526.8340 1 % No Line
1709308526.8381 1 % No Line
1709308526.8422 1 % No Line
1709308526.8463 1 % No Line
1709308526.8505 1 % No Line
1709308526.8547 1 % No Line
