% Edge logfile: log_20240301_165905.642/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709308746.5732 2 0 -0.0400 -0.0164 3.0320 0
1709308746.5813 2 0 -0.0400 -0.0168 2.7642 0
1709308746.5884 2 0 -0.0400 -0.0173 2.4998 0
1709308746.5972 2 0 -0.0400 -0.0162 2.4760 0
1709308746.6042 2 0 -0.0400 -0.0162 2.3062 0
1709308746.6123 2 0 -0.0400 -0.0164 2.1228 0
1709308746.6214 2 0 -0.0400 -0.0156 2.0816 0
1709308746.6285 2 0 -0.0400 -0.0154 1.9680 0
1709308746.6366 2 0 -0.0400 -0.0149 1.9079 0
1709308746.6443 2 0 -0.0400 -0.0147 1.8185 0
1709308746.6524 2 0 -0.0400 -0.0142 1.7689 0
1709308746.6603 2 0 -0.0400 -0.0138 1.7142 0
1709308746.6690 2 0 -0.0400 -0.0131 1.7025 0
1709308746.6766 2 0 -0.0400 -0.0126 1.6647 0
1709308746.6848 2 0 -0.0400 -0.0118 1.6740 0
1709308746.6925 2 0 -0.0400 -0.0115 1.6174 0
1709308746.7008 2 0 -0.0400 -0.0122 1.4443 0
1709308746.7090 2 0 -0.0400 -0.0108 1.5471 0
1709308746.7169 2 0 -0.0400 -0.0094 1.6371 0
1709308746.7249 2 0 -0.0400 -0.0097 1.5123 0
1709308746.7322 2 0 -0.0400 -0.0125 1.0830 0
1709308746.7412 2 0 -0.0400 -0.0098 1.3830 0
1709308746.7484 2 0 -0.0400 0.0000 0.0000 0
1709308746.7565 2 0 -0.0400 -0.0270 -0.9000 0
1709308746.7644 2 0 -0.0400 -0.0279 -0.9113 0
1709308746.7723 2 0 -0.0400 -0.0295 -1.0174 0
1709308746.7805 2 0 -0.0400 -0.0318 -1.2136 0
1709308746.7883 2 0 -0.0400 -0.0336 -1.3258 0
1709308746.7964 2 0 -0.0400 -0.0351 -1.3896 0
1709308746.8048 2 0 -0.0400 -0.0360 -1.3893 0
1709308746.8126 2 0 -0.0400 -0.0351 -1.1380 0
1709308746.8215 2 0 -0.0400 -0.0431 -2.0670 0
1709308746.8288 2 0 -0.0400 -0.0453 -2.1818 0
1709308746.8366 2 0 -0.0400 -0.0467 -2.1836 0
1709308746.8447 2 0 -0.0400 -0.0490 -2.3014 0
1709308746.8530 2 0 -0.0400 -0.0495 -2.1798 0
1709308746.8610 2 0 -0.0400 -0.0506 -2.1577 0
1709308746.8692 2 0 -0.0400 -0.0502 -1.9430 0
1709308746.8771 2 0 -0.0400 -0.0512 -1.9248 0
1709308746.8848 2 0 -0.0400 0.0000 0.0000 0
1709308746.8931 2 0 -0.0400 0.0000 0.0000 0
1709308746.9009 2 0 -0.0400 0.0000 0.0000 0
1709308746.9087 2 0 -0.0400 0.0000 0.0000 0
1709308746.9168 2 0 -0.0400 0.0000 0.0000 0
1709308746.9245 2 0 -0.0400 0.0000 0.0000 0
1709308746.9330 2 0 -0.0400 0.0000 0.0000 0
1709308746.9412 2 0 -0.0400 0.0000 0.0000 0
1709308746.9483 2 0 -0.0400 0.0000 0.0000 0
1709308746.9567 2 0 -0.0400 0.0000 0.0000 0
1709308746.9648 2 0 -0.0400 0.0000 0.0000 0
1709308746.9725 2 0 -0.0400 0.0000 0.0000 0
1709308746.9811 2 0 -0.0400 0.0000 0.0000 0
1709308746.9889 2 0 -0.0400 0.0000 0.0000 0
1709308746.9966 2 0 -0.0400 0.0000 0.0000 0
1709308747.0048 2 0 -0.0400 0.0000 0.0000 0
1709308747.0130 2 0 -0.0400 0.0000 0.0000 0
1709308747.0219 2 0 -0.0400 0.0000 0.0000 0
1709308747.0286 2 0 -0.0400 0.0000 0.0000 0
1709308747.0369 2 0 -0.0400 0.0000 0.0000 0
1709308747.0451 2 0 -0.0400 0.0000 0.0000 0
1709308747.0529 2 0 -0.0400 0.0000 0.0000 0
1709308747.0610 2 0 -0.0400 0.0000 0.0000 0
1709308747.0690 2 0 -0.0400 0.0000 0.0000 0
1709308747.0764 2 0 -0.0400 0.0000 0.0000 0
1709308747.0847 2 0 -0.0400 0.0000 0.0000 0
1709308747.0930 2 0 -0.0400 0.0000 0.0000 0
1709308747.1011 2 0 -0.0400 0.0000 0.0000 0
1709308747.1084 2 0 -0.0400 0.0000 0.0000 0
1709308747.1170 2 0 -0.0400 0.0000 0.0000 0
1709308747.1246 2 0 -0.0400 0.0000 0.0000 0
1709308747.1331 2 0 -0.0400 0.0000 0.0000 0
1709308747.1410 2 0 -0.0400 0.0000 0.0000 0
1709308747.1490 2 0 -0.0400 0.0000 0.0000 0
1709308747.1563 2 0 -0.0400 0.0000 0.0000 0
1709308747.1646 2 0 -0.0400 0.0000 0.0000 0
1709308747.1732 2 0 -0.0400 0.0000 0.0000 0
1709308747.1803 2 0 -0.0400 0.0000 0.0000 0
1709308747.1885 2 0 -0.0400 0.0000 0.0000 0
1709308747.1963 2 0 -0.0400 0.0000 0.0000 0
1709308747.2043 2 0 -0.0400 0.0000 0.0000 0
1709308747.2130 2 0 -0.0400 0.0000 0.0000 0
1709308747.2218 2 0 -0.0400 0.0000 0.0000 0
1709308747.2288 2 0 -0.0400 0.0000 0.0000 0
1709308747.2371 2 0 -0.0400 0.0000 0.0000 0
1709308747.2447 2 0 -0.0400 0.0000 0.0000 0
1709308747.2522 2 0 -0.0400 0.0000 0.0000 0
1709308747.2604 2 0 -0.0400 0.0000 0.0000 0
1709308747.2682 2 0 -0.0400 0.0000 0.0000 0
1709308747.2769 2 0 -0.0400 0.0000 0.0000 0
1709308747.2851 2 0 -0.0400 0.0000 0.0000 0
1709308747.2932 2 0 -0.0400 0.0000 0.0000 0
1709308747.3003 2 0 -0.0400 0.0000 0.0000 0
1709308747.3085 2 0 -0.0400 0.0000 0.0000 0
1709308747.3173 2 0 -0.0400 0.0000 0.0000 0
1709308747.3250 2 0 -0.0400 0.0000 0.0000 0
1709308747.3332 2 0 -0.0400 0.0000 0.0000 0
1709308747.3408 2 0 -0.0400 0.0000 0.0000 0
1709308747.3489 2 0 -0.0400 0.0000 0.0000 0
1709308747.3571 2 0 -0.0400 0.0000 0.0000 0
1709308747.3649 2 0 -0.0400 0.0000 0.0000 0
1709308747.3727 2 0 -0.0400 0.0000 0.0000 0
1709308747.3808 2 0 -0.0400 0.0000 0.0000 0
1709308747.3885 2 0 -0.0400 0.0000 0.0000 0
1709308747.3969 2 0 -0.0400 0.0000 0.0000 0
1709308747.4052 2 0 -0.0400 0.0000 0.0000 0
1709308747.4130 2 0 -0.0400 0.0000 0.0000 0
1709308747.4218 2 0 -0.0400 0.0000 0.0000 0
1709308747.4288 2 0 -0.0400 0.0000 0.0000 0
1709308747.4366 2 0 -0.0400 0.0000 0.0000 0
1709308747.4447 2 0 -0.0400 0.0000 0.0000 0
1709308747.4530 2 0 -0.0400 0.0000 0.0000 0
1709308747.4603 2 0 -0.0400 0.0000 0.0000 0
1709308747.4686 2 0 -0.0400 0.0000 0.0000 0
1709308747.4764 2 0 -0.0400 0.0000 0.0000 0
1709308747.4842 2 0 -0.0400 0.0000 0.0000 0
1709308747.4927 2 0 -0.0400 0.0000 0.0000 0
1709308747.5010 2 0 -0.0400 0.0000 0.0000 0
1709308747.5088 2 0 -0.0400 0.0000 0.0000 0
1709308747.5169 2 0 -0.0400 0.0000 0.0000 0
1709308747.5248 2 0 -0.0400 0.0000 0.0000 0
1709308747.5323 2 0 -0.0400 0.0000 0.0000 0
1709308747.5410 2 0 -0.0400 0.0000 0.0000 0
1709308747.5491 2 0 -0.0400 0.0000 0.0000 0
1709308747.5569 2 0 -0.0400 0.0000 0.0000 0
1709308747.5649 2 0 -0.0400 0.0000 0.0000 0
1709308747.5726 2 0 -0.0400 0.0000 0.0000 0
1709308747.5803 2 0 -0.0400 0.0000 0.0000 0
1709308747.5886 2 0 -0.0400 0.0000 0.0000 0
