% Edge sensor logfile normalized 'log_20240301_170042.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308842.4817 0 0 0 0 0 0 0 0  0.0000
1709308842.4897 0 127 858 1000 547 3 0 0  0.0322
1709308842.4971 0 154 881 1000 558 8 0 0  0.0330
1709308842.5053 0 140 881 1000 561 8 0 0  0.0330
1709308842.5130 0 113 853 1000 552 1 0 0  0.0322
1709308842.5214 0 140 872 1000 558 8 0 0  0.0328
1709308842.5296 0 168 878 1000 566 14 0 0  0.0333
1709308842.5368 0 145 858 1000 548 8 0 0  0.0323
1709308842.5452 0 163 872 1000 558 13 0 0  0.0329
1709308842.5535 0 154 883 1000 563 9 0 0  0.0332
1709308842.5613 0 150 863 1000 552 0 0 0  0.0325
1709308842.5694 0 181 856 1000 552 0 0 0  0.0326
1709308842.5766 0 90 849 1000 552 16 0 0  0.0320
1709308842.5847 0 113 840 1000 545 0 0 0  0.0317
1709308842.5928 0 136 837 1000 537 0 0 0  0.0316
1709308842.6009 0 113 805 1000 532 0 0 0  0.0307
1709308842.6086 0 90 742 970 497 37 0 0  0.0280
1709308842.6168 0 109 732 948 484 22 0 0  0.0272
1709308842.6249 0 81 726 963 502 22 0 0  0.0276
1709308842.6331 0 50 678 915 480 29 0 0  0.0240
1709308842.6414 0 59 666 892 476 42 0 0  0.0225
1709308842.6496 0 59 662 879 489 45 0 0  0.0220
1709308842.6574 0 59 616 826 464 32 0 0  0.0163
1709308842.6656 0 13 584 817 457 45 0 0  0.0142
1709308842.6736 0 9 589 822 457 78 0 0  0.0147
1709308842.6815 0 36 616 793 462 34 0 0  0.0138
1709308842.6895 0 13 575 784 446 32 0 0  0.0112
1709308842.6970 0 0 561 762 444 41 0 0  0.0086
1709308842.7050 0 0 554 789 457 44 0 0  0.0111
1709308842.7132 0 0 545 776 471 47 0 0  0.0099
1709308842.7206 0 0 575 802 482 77 0 0  0.0132
1709308842.7296 0 0 573 857 504 65 0 0  0.0171
1709308842.7374 0 0 577 881 522 49 0 0  0.0188
1709308842.7446 0 0 634 959 560 72 0 0  0.0248
1709308842.7533 0 0 710 1000 603 87 0 0  0.0303
1709308842.7613 0 0 687 1000 631 72 0 0  0.0304
1709308842.7700 0 0 714 1000 679 91 0 0  0.0335
1709308842.7770 0 0 748 1000 720 105 0 0  0.0359
1709308842.7849 0 0 710 1000 719 100 0 0  0.0351
1709308842.7934 0 0 682 1000 727 118 0 0  0.0341
1709308842.8011 0 0 666 1000 710 128 0 0  0.0328
1709308842.8091 0 0 614 1000 677 124 0 0  0.0292
1709308842.8173 0 0 593 1000 674 128 0 0  0.0284
1709308842.8250 0 0 598 1000 669 124 0 0  0.0283
1709308842.8339 0 0 568 1000 669 147 0 0  0.0274
1709308842.8412 0 0 570 1000 699 154 0 0  0.0290
1709308842.8490 0 0 595 1000 719 162 0 0  0.0304
1709308842.8571 0 0 589 1000 717 154 0 0  0.0302
