% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309482.4419 0 0 0 0
1709309482.4493 0 0 0 0
1709309482.4569 0 0 0 0
1709309482.4644 0 0 0 0
1709309482.4732 0 0 0 0
1709309482.4806 0 0 0 0
1709309482.4893 0 0 0 0
1709309482.4975 0 0 0 0
1709309482.5048 0 0 0 0
1709309482.5136 0 0 0 0
1709309482.5215 0 0 0 0
1709309482.5292 0 0 0 0
1709309482.5369 0 0 0 0
1709309482.5469 0 0 0 0
1709309482.5529 0 0 0 0
1709309482.5606 1 1 1 1
1709309482.5694 10 12 9 11
1709309482.5772 20 23 10 11
1709309482.5850 26 28 6 5
1709309482.5938 29 30 3 2
1709309482.6019 36 37 7 7
1709309482.6090 45 45 9 8
1709309482.6180 56 54 11 9
1709309482.6251 69 63 13 9
1709309482.6333 80 70 11 7
1709309482.6418 92 79 12 9
1709309482.6491 107 89 15 10
1709309482.6570 122 105 15 16
1709309482.6660 137 116 15 11
1709309482.6727 151 127 14 11
1709309482.6815 167 140 16 13
1709309482.6894 183 159 16 19
1709309482.6968 200 175 17 16
1709309482.7047 219 184 19 9
1709309482.7139 236 197 17 13
1709309482.7208 257 212 21 15
1709309482.7293 271 230 14 18
1709309482.7383 288 243 17 13
1709309482.7449 305 255 17 12
1709309482.7537 323 273 18 18
1709309482.7615 342 289 19 16
1709309482.7692 362 304 20 15
1709309482.7770 379 316 17 12
1709309482.7859 397 335 18 19
1709309482.7936 417 357 20 22
1709309482.8011 439 374 22 17
1709309482.8100 458 385 19 11
1709309482.8175 475 400 17 15
1709309482.8254 492 417 17 17
1709309482.8344 508 435 16 18
1709309482.8409 525 453 17 18
1709309482.8494 544 468 19 15
1709309482.8574 562 483 18 15
1709309482.8650 579 501 17 18
1709309482.8733 592 518 13 17
1709309482.8823 607 534 15 16
1709309482.8889 626 552 19 18
1709309482.8974 640 567 14 15
1709309482.9062 650 582 10 15
1709309482.9127 664 597 14 15
1709309482.9215 680 619 16 22
1709309482.9303 693 636 13 17
1709309482.9369 706 651 13 15
1709309482.9457 718 670 12 19
1709309482.9539 731 687 13 17
1709309482.9615 748 705 17 18
1709309482.9693 761 720 13 15
1709309482.9782 772 734 11 14
1709309482.9847 783 755 11 21
1709309482.9935 796 771 13 16
1709309483.0021 808 789 12 18
1709309483.0087 819 807 11 18
1709309483.0177 829 828 10 21
1709309483.0258 841 848 12 20
1709309483.0334 854 866 13 18
1709309483.0411 867 883 13 17
1709309483.0496 879 900 12 17
1709309483.0572 890 919 11 19
1709309483.0650 900 943 10 24
1709309483.0739 913 964 13 21
1709309483.0815 926 982 13 18
1709309483.0891 939 1004 13 22
1709309483.0976 951 1022 12 18
1709309483.1050 964 1043 13 21
1709309483.1132 976 1063 12 20
1709309483.1222 986 1084 10 21
1709309483.1287 998 1102 12 18
1709309483.1367 1012 1122 14 20
