% Edge sensor logfile log_20240301_171536.564/log_edge.txt
% 	Calib white 198 345 561 652 714 726 681 594
% 	Calib black 106 125 123 105 109 117 111 105
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709309737.4873 0 0.000 0.000 0.0000
1709309737.4962 1 0.045 0.003 0.0417
1709309737.5035 1 0.045 0.003 0.0425
1709309737.5132 1 0.045 0.003 0.0418
1709309737.5204 1 0.046 0.003 0.0433
1709309737.5262 1 0.046 0.003 0.0428
1709309737.5334 1 0.045 0.003 0.0416
1709309737.5419 1 0.045 0.003 0.0420
1709309737.5499 1 0.046 0.003 0.0430
1709309737.5584 1 0.045 0.003 0.0415
1709309737.5661 1 0.046 0.003 0.0423
1709309737.5736 1 0.046 0.003 0.0428
1709309737.5817 1 0.045 0.003 0.0422
1709309737.5900 1 0.046 0.003 0.0424
1709309737.5976 1 0.046 0.003 0.0426
1709309737.6057 1 0.045 0.003 0.0421
1709309737.6139 1 0.044 0.004 0.0403
1709309737.6212 1 0.045 0.003 0.0423
1709309737.6293 1 0.044 0.003 0.0417
1709309737.6376 1 0.044 0.004 0.0408
1709309737.6454 1 0.044 0.004 0.0400
1709309737.6536 1 0.043 0.004 0.0393
1709309737.6625 1 0.040 0.005 0.0343
1709309737.6710 1 0.041 0.004 0.0372
1709309737.6787 1 0.040 0.005 0.0352
1709309737.6871 1 0.038 0.005 0.0325
1709309737.6947 1 0.037 0.006 0.0308
1709309737.7024 1 0.037 0.007 0.0301
1709309737.7106 1 0.037 0.007 0.0301
1709309737.7188 1 0.036 0.007 0.0285
1709309737.7265 1 0.034 0.009 0.0252
1709309737.7349 1 0.034 0.008 0.0259
1709309737.7429 1 0.033 0.009 0.0240
1709309737.7508 1 0.034 0.007 0.0266
1709309737.7590 1 0.034 0.008 0.0260
1709309737.7663 1 0.036 0.007 0.0287
1709309737.7747 1 0.040 0.005 0.0347
1709309737.7847 1 0.042 0.005 0.0367
1709309737.7910 1 0.043 0.004 0.0395
1709309737.7988 1 0.044 0.002 0.0425
1709309737.8069 1 0.045 0.001 0.0439
1709309737.8152 1 0.045 0.001 0.0440
1709309737.8229 1 0.046 0.001 0.0449
1709309737.8312 1 0.046 0.002 0.0444
1709309737.8390 1 0.046 0.001 0.0451
1709309737.8469 1 0.046 0.002 0.0444
1709309737.8550 1 0.046 0.002 0.0439
1709309737.8633 1 0.046 0.003 0.0437
1709309737.8713 1 0.047 0.002 0.0447
1709309737.8793 1 0.047 0.003 0.0444
1709309737.8865 1 0.047 0.003 0.0446
1709309737.8949 1 0.048 0.002 0.0457
1709309737.9031 1 0.048 0.002 0.0456
1709309737.9113 1 0.048 0.003 0.0450
1709309737.9193 1 0.048 0.004 0.0445
1709309737.9265 1 0.048 0.004 0.0436
1709309737.9350 1 0.048 0.005 0.0427
1709309737.9426 1 0.048 0.006 0.0418
1709309737.9510 1 0.048 0.006 0.0424
1709309737.9593 1 0.048 0.006 0.0423
1709309737.9669 1 0.048 0.006 0.0424
1709309737.9752 1 0.048 0.006 0.0423
1709309737.9825 1 0.048 0.006 0.0419
1709309737.9913 1 0.048 0.008 0.0404
1709309737.9989 1 0.048 0.008 0.0402
1709309738.0066 1 0.048 0.008 0.0401
1709309738.0153 1 0.048 0.009 0.0392
1709309738.0226 1 0.048 0.008 0.0398
1709309738.0312 1 0.048 0.008 0.0397
1709309738.0395 1 0.048 0.009 0.0393
1709309738.0469 1 0.048 0.008 0.0400
1709309738.0556 1 0.048 0.008 0.0401
1709309738.0625 1 0.048 0.010 0.0381
1709309738.0708 1 0.048 0.011 0.0374
1709309738.0791 1 0.048 0.011 0.0369
1709309738.0871 1 0.048 0.012 0.0361
1709309738.0943 1 0.048 0.011 0.0366
1709309738.1029 1 0.048 0.012 0.0358
1709309738.1109 1 0.048 0.013 0.0351
1709309738.1192 1 0.049 0.013 0.0362
1709309738.1267 1 0.048 0.013 0.0358
1709309738.1346 1 0.048 0.013 0.0354
1709309738.1436 1 0.049 0.013 0.0358
1709309738.1509 1 0.049 0.012 0.0371
1709309738.1588 1 0.048 0.012 0.0361
1709309738.1675 1 0.049 0.012 0.0363
1709309738.1748 1 0.049 0.012 0.0366
1709309738.1827 1 0.049 0.010 0.0387
1709309738.1904 1 0.048 0.011 0.0370
